步骤		状态栈				符号栈				待输入串				ACTION GO
208		0357891214171717171717314462				#Bti(D){FFFFFFj(i				pn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r19：用J->i归约，并将状态61入栈
210		0357891214171717171717314461				#Bti(D){FFFFFFj(J				pn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S76：将状态76压入状态栈
212		035789121417171717171731446176				#Bti(D){FFFFFFj(Jp				n){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S91：将状态91压入状态栈
214		03578912141717171717173144617691				#Bti(D){FFFFFFj(Jpn				){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态89入栈
216		03578912141717171717173144617689				#Bti(D){FFFFFFj(JpJ				){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r21：用L->JpJ归约，并将状态64入栈
218		0357891214171717171717314464				#Bti(D){FFFFFFj(L				){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S77：将状态77压入状态栈
220		035789121417171717171731446477				#Bti(D){FFFFFFj(L)				{io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S92：将状态92压入状态栈
222		03578912141717171717173144647792				#Bti(D){FFFFFFj(L){				io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S28：将状态28压入状态栈
224		0357891214171717171717314464779228				#Bti(D){FFFFFFj(L){i				o=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S41：将状态41压入状态栈
226		035789121417171717171731446477922841				#Bti(D){FFFFFFj(L){io				=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S54：将状态54压入状态栈
228		03578912141717171717173144647792284154				#Bti(D){FFFFFFj(L){io=				n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S53：将状态53压入状态栈
230		0357891214171717171717314464779228415453				#Bti(D){FFFFFFj(L){io=n				;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态67入栈
232		0357891214171717171717314464779228415467				#Bti(D){FFFFFFj(L){io=J				;}k{io=n;}w(ipi){io=i;b;}rn;}#				S79：将状态79压入状态栈
234		035789121417171717171731446477922841546779				#Bti(D){FFFFFFj(L){io=J;				}k{io=n;}w(ipi){io=i;b;}rn;}#				r18：用I->io=J;归约，并将状态21入栈
236		0357891214171717171717314464779221				#Bti(D){FFFFFFj(L){I				}k{io=n;}w(ipi){io=i;b;}rn;}#				r16：用F->I归约，并将状态17入栈
238		0357891214171717171717314464779217				#Bti(D){FFFFFFj(L){F				}k{io=n;}w(ipi){io=i;b;}rn;}#				240		035789121417171717171731446477921718				#Bti(D){FFFFFFj(L){F@				}k{io=n;}w(ipi){io=i;b;}rn;}#				r9：用E->@归约，并将状态36入栈
242		035789121417171717171731446477921736				#Bti(D){FFFFFFj(L){FE				}k{io=n;}w(ipi){io=i;b;}rn;}#				r8：用E->FE归约，并将状态102入栈
244		03578912141717171717173144647792102				#Bti(D){FFFFFFj(L){E				}k{io=n;}w(ipi){io=i;b;}rn;}#				S109：将状态109压入状态栈
